ts,endpoint,unit,suffix,base_model,variant_label,model_tag,num_gpu,num_ctx,batch,num_predict,tokens_per_sec,gpu_label,gpu_name,gpu_uuid,gpu_mem_mib
2025-09-12T09:01:14+00:00,127.0.0.1:11435,ollama-test-a.service,A,llama4:16x17b,base-as-is,llama4:16x17b,default,1024,32,256,19.28,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T09:01:35+00:00,127.0.0.1:11435,ollama-test-a.service,A,llama4:16x17b,optimized,llama4-16x17b-nvidia-5090-ng24:latest,24,1024,32,256,19.84,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T09:01:49+00:00,127.0.0.1:11435,ollama-test-a.service,A,llama4:16x17b,optimized,llama4-16x17b-nvidia-5090-ng16:latest,16,1024,32,256,16.66,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T09:02:49+00:00,127.0.0.1:11436,ollama-test-b.service,B,llama4:16x17b,optimized,llama4-16x17b-nvidia-3090ti-ng16:latest,16,1024,32,256,16.44,nvidia-3090ti,NVIDIA GeForce RTX 3090 Ti,GPU-b8530596-c700-dd8d-4312-2b4fb42129fc,24564
2025-09-12T09:03:27+00:00,127.0.0.1:11435,ollama-test-a.service,A,deepseek-r1:70b,base-as-is,deepseek-r1:70b,default,1024,32,256,10.15,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T09:04:19+00:00,127.0.0.1:11435,ollama-test-a.service,A,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-5090-ng56:latest,56,1024,32,256,9.08,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T09:05:00+00:00,127.0.0.1:11435,ollama-test-a.service,A,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-5090-ng48:latest,48,1024,32,256,7.42,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T09:05:48+00:00,127.0.0.1:11435,ollama-test-a.service,A,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-5090-ng40:latest,40,1024,32,256,6.19,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T09:07:07+00:00,127.0.0.1:11435,ollama-test-a.service,A,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-5090-ng32:latest,32,1024,32,256,3.53,nvidia-5090,NVIDIA GeForce RTX 5090,GPU-f869acd6-5d4a-7fb5-6be9-f88e5bd9459d,32607
2025-09-12T09:11:24+00:00,127.0.0.1:11436,ollama-test-b.service,B,deepseek-r1:70b,base-as-is,deepseek-r1:70b,default,1024,32,256,3.92,nvidia-3090ti,NVIDIA GeForce RTX 3090 Ti,GPU-b8530596-c700-dd8d-4312-2b4fb42129fc,24564
2025-09-12T09:12:47+00:00,127.0.0.1:11436,ollama-test-b.service,B,deepseek-r1:70b,optimized,deepseek-r1-70b-nvidia-3090ti-ng40:latest,40,1024,32,256,4.65,nvidia-3090ti,NVIDIA GeForce RTX 3090 Ti,GPU-b8530596-c700-dd8d-4312-2b4fb42129fc,24564
